name, address, link, price, beds, amenities
The Station Apartments, 5959 Broadway Bronx NY 10463, https://www.apartments.com/the-station-apartments-bronx-ny/2vjnkfb/, $1750 - $2300, Studio - 1 Bed,  Pets Allowed Fitness Center Refrigerator Range Microwave CableReady 
The Equestrian At Pelham Parkway, 1680 Pelham Pkwy S Bronx NY 10461, https://www.apartments.com/the-equestrian-at-pelham-parkway-bronx-ny/80g1zt0/, $1700 - $2650, Studio - 2 Beds,  Pets Allowed Fitness Center Dishwasher Refrigerator Kitchen In Unit Washer &amp; Dryer 
Halletts Point, 10 Halletts Pt Astoria NY 11102, https://www.apartments.com/halletts-point-astoria-ny/1j2c5h6/, $2760 - $6042, Studio - 2 Beds,  Pets Allowed Fitness Center Pool Dishwasher Refrigerator Kitchen 
The Bold, 2701 Jackson Ave Long Island City NY 11101, https://www.apartments.com/the-bold-long-island-city-ny/vh5hy3f/, $3600 - $8695, Studio - 3 Beds,  Pets Allowed Fitness Center In Unit Washer &amp; Dryer Stainless Steel Appliances Package Service Hardwood Floors Elevator 
1515 Surf Ave, 1515 Surf Ave Brooklyn NY 11224, https://www.apartments.com/1515-surf-brooklyn-ny/65t9ffv/, $3140 - $3455, 1-2 Beds,  Pets Allowed Fitness Center Pool Refrigerator Kitchen In Unit Washer &amp; Dryer 
The Riverdale Tower, 3745 Riverdale Ave The Bronx NY 10463, https://www.apartments.com/the-riverdale-tower-the-bronx-ny/db9r3kj/, $2200 - $4750, Studio - 2 Beds,  Pets Allowed Fitness Center Dishwasher Heat Courtyard Elevator Laundry Facilities 
View 34, 401 E 34th St New York NY 10016, https://www.apartments.com/view-34-new-york-ny/938hg25/, $3280 - $8399, Studio - 3 Beds,  Pets Allowed Fitness Center Refrigerator Kitchen In Unit Washer &amp; Dryer Walk-In Closets 
10 Hanover Square, 110-124 Pearl St New York NY 10005, https://www.apartments.com/10-hanover-square-new-york-ny/1wxy6j5/, $3530 - $6999, Studio - 3 Beds,  Pets Allowed Kitchen Walk-In Closets Clubhouse Maintenance on site High-Speed Internet 
95 Wall St, 95 Wall St New York NY 10005, https://www.apartments.com/95-wall-new-york-ny/b815kt8/, $3469 - $7493, Studio - 3 Beds,  Pets Allowed Fitness Center Refrigerator In Unit Washer &amp; Dryer Walk-In Closets High-Speed Internet 
The Heritage House, 1660 Madison Ave New York NY 10029, https://www.apartments.com/the-heritage-house-new-york-ny/wxgrrzh/, $1650 - $2280, Studio,  Kitchen In Unit Washer &amp; Dryer Heat High-Speed Internet Elevator Laundry Facilities Concierge 
The Reserve, 212 E 125th St New York NY 10035, https://www.apartments.com/the-reserve-new-york-ny/3w6dcsd/, $1584 - $4107, Studio - 4 Beds,  Fitness Center Clubhouse High-Speed Internet Private Bathroom Individual Locking Bedrooms 
21 Chelsea, 120 W 21st St New York NY 10011, https://www.apartments.com/21-chelsea-new-york-ny/d10ll7l/, $4322 - $5629, Studio - 5 Beds,  Pets Allowed Fitness Center Kitchen Walk-In Closets Balcony High-Speed Internet 
The Greenpoint, 21 India St Brooklyn NY 11222, https://www.apartments.com/the-greenpoint-brooklyn-ny/pnhp7hs/, $4159 - $6399, Studio - 3 Beds,  Fitness Center Pool Dishwasher Refrigerator Kitchen Balcony Range 
MODA, 153-30 89th Ave Jamaica NY 11432, https://www.apartments.com/moda-jamaica-ny/kl2p7vb/, $3522, 2 Beds,  Pets Allowed Fitness Center Dishwasher Refrigerator Kitchen Walk-In Closets 
PLG, 123 Linden Blvd Brooklyn NY 11226, https://www.apartments.com/plg-brooklyn-ny/qznx2yw/, $2562 - $4689, Studio - 2 Beds,  Fitness Center Pool Dishwasher Refrigerator In Unit Washer &amp; Dryer Walk-In Closets 
Hillside Tower, 14735 95th Ave Jamaica NY 11435, https://www.apartments.com/hillside-tower-jamaica-ny/d8cj57j/, $2000 - $3200, Studio - 2 Beds,  Fitness Center Dishwasher Package Service Elevator Laundry Facilities 
Waterline Square, 400 W 61st St New York NY 10023, https://www.apartments.com/waterline-square-new-york-ny/ewlwn1n/, $7024 - $27995, 1-4 Beds, 
Yorkshire Towers, 305-315 E 86th St New York NY 10028, https://www.apartments.com/yorkshire-towers-new-york-ny/bzg2v49/, $4200 - $14249, Studio - 3 Beds, 
7 Dekalb, 1 Dekalb Ave Brooklyn NY 11201, https://www.apartments.com/7-dekalb-brooklyn-ny/rztegz0/, $3702 - $6701, 1-2 Beds, 
18 India St, 18 India St Brooklyn NY 11222, https://www.apartments.com/18-india-st-brooklyn-ny/4x37m0k/, $2821 - $4395, Studio - 2 Beds, 
Parkchester, 2000 E Tremont Ave Bronx NY 10462, https://www.apartments.com/parkchester-bronx-ny/e3s3rfm/, $1335 - $3000, Studio - 3 Beds, 
Serrano, 1735 York Ave New York NY 10128, https://www.apartments.com/serrano-new-york-ny/ghtdhdz/, $4995 - $8600, 1-3 Beds, 
Marquis Apartments, 150 E 34th St New York NY 10016, https://www.apartments.com/marquis-apartments-new-york-ny/73ymnfy/, $3699 - $4953, Studio - 1 Bed, 
Pod Pads, 400 W 42nd St New York NY 10036, https://www.apartments.com/pod-pads-new-york-ny/c6e9d5d/, $4500 - $9000, 1-2 Beds, 
The Octagon, 888 Main St New York NY 10044, https://www.apartments.com/the-octagon-new-york-ny/9w36sk7/, $3050 - $7040, Studio - 3 Beds, 
605 W 112th St, 605 W 112th St New York NY 10025, https://www.apartments.com/605-w-112th-st-new-york-ny/d3d8s8j/, $3200 - $3700, 1 Bed, 
National at 888 6th Ave Furnished Apartments, 888 6th Ave New York NY 10001, https://www.apartments.com/national-at-888-6th-ave-furnished-apartments-new-york-ny/0smfmv0/, $4000 - $14970, Studio - 2 Beds, 
The Max, 606 W 57th St New York NY 10019, https://www.apartments.com/the-max-new-york-ny/24f34qb/, $3433 - $8195, Studio - 3 Beds, 
Park Towers South, 315 W 57th St New York NY 10019, https://www.apartments.com/park-towers-south-new-york-ny/xc7j4tn/, $4199 - $4999, 1 Bed, 
Gateway Battery Park City, 345-395 South End Ave New York NY 10280, https://www.apartments.com/gateway-battery-park-city-new-york-ny/rlcl211/, $3683 - $13613, Studio - 3 Beds, 
TERRA, 45-19 Davis St Long Island City NY 11101, https://www.apartments.com/terra-long-island-city-ny/thsdmnc/, $3725 - $7100, Studio - 2 Beds, 
Luxe By Russos, 241-15 Northern Blvd Flushing NY 11362, https://www.apartments.com/luxe-by-russos-flushing-ny/5y0844m/, $3200 - $5000, Studio - 2 Beds, 
The Exo, 26-38 21st St Astoria NY 11102, https://www.apartments.com/the-exo-astoria-ny/9krqbl6/, $3250 - $3450, 1 Bed, 
The Vitagraph, 1277 E 14th St Brooklyn NY 11230, https://www.apartments.com/the-vitagraph-brooklyn-ny/21jytlc/, $2716 - $3208, 1-2 Beds, 
Barclays II - B14 - 535 Carlton Ave, 535 Carlton Ave Brooklyn NY 11238, https://www.apartments.com/barclays-ii-b14-535-carlton-ave-brooklyn-ny/vrqvrrg/, $2169 - $3320, Studio - 3 Beds, 
Barclays I - B3 - 38 6th Ave, 38 6th Ave Brooklyn NY 11217, https://www.apartments.com/barclays-i-b3-38-6th-ave-brooklyn-ny/xw2jtcp/, $2121 - $3287, Studio - 3 Beds, 
Windsor Court, 155 E 31st St New York NY 10016, https://www.apartments.com/windsor-court-new-york-ny/q3856xz/, $4755 - $8025,                                     1-2 Beds
                                , 
VIA 57 WEST, 625 W 57th St New York NY 10019, https://www.apartments.com/via-57-west-new-york-ny/7tc4rkx/, $3988 - $6480,                                     Studio - 2 Beds
                                , 
444 W 58th St, 444 W 58th St New York NY 10019, https://www.apartments.com/444-w-58th-st-new-york-ny/7twrmww/, $4000 - $6900,                                     2-3 Beds
                                , 
EOS, 100 W 31st St New York NY 10001, https://www.apartments.com/eos-new-york-ny/zls36xz/, $4460 - $10200,                                     Studio - 3 Beds
                                , 
